,A1,A2,A3
1,5.00E-01,6.67E-01,6.69E-01
2,3.75E-01,6.67E-01,6.71E-01
3,2.81E-01,6.67E-01,6.73E-01
4,2.11E-01,6.67E-01,6.76E-01
5,1.58E-01,6.67E-01,6.78E-01
6,1.19E-01,6.67E-01,6.80E-01
7,8.90E-02,6.67E-01,6.82E-01
8,6.67E-02,6.67E-01,6.85E-01
9,5.01E-02,6.67E-01,6.87E-01
10,3.75E-02,6.67E-01,6.89E-01
11,2.82E-02,6.67E-01,6.92E-01
12,2.11E-02,6.67E-01,6.94E-01
13,1.58E-02,6.67E-01,6.96E-01
14,1.19E-02,6.67E-01,6.99E-01
15,8.91E-03,6.67E-01,7.01E-01
16,6.68E-03,6.67E-01,7.03E-01
17,5.01E-03,6.67E-01,7.06E-01
18,3.76E-03,6.67E-01,7.08E-01
19,2.82E-03,6.67E-01,7.10E-01
20,2.11E-03,6.67E-01,7.13E-01
21,1.59E-03,6.67E-01,7.15E-01
22,1.19E-03,6.67E-01,7.17E-01
23,8.92E-04,6.67E-01,7.20E-01
24,6.69E-04,6.67E-01,7.22E-01
25,5.02E-04,6.67E-01,7.25E-01
26,3.76E-04,6.67E-01,7.27E-01
27,2.82E-04,6.67E-01,7.30E-01
28,2.12E-04,6.67E-01,7.32E-01
29,1.59E-04,6.67E-01,7.34E-01
30,1.19E-04,6.67E-01,7.37E-01
31,8.92E-05,6.67E-01,7.39E-01
32,6.69E-05,6.67E-01,7.42E-01
33,5.01E-05,6.67E-01,7.44E-01
34,3.76E-05,6.67E-01,7.47E-01
35,2.82E-05,6.67E-01,7.49E-01
36,2.11E-05,6.67E-01,7.52E-01
37,1.58E-05,6.67E-01,7.54E-01
38,1.18E-05,6.67E-01,7.57E-01
39,8.84E-06,6.67E-01,7.59E-01
